YearMonthDayHourMinute,STN,UV
202206010000,13,
202206010000,105,
202206010000,108,
202206010000,112,
202206010000,115,
202206010000,131,
202206010000,132,
202206010000,133,
202206010000,138,
202206010000,143,
202206010000,146,
202206010000,152,
202206010000,156,
202206010000,159,
202206010000,165,
202206010010,13,
202206010010,105,
202206010010,108,
202206010010,112,
202206010010,115,
202206010010,131,
202206010010,132,
202206010010,133,
202206010010,138,
202206010010,143,
202206010010,146,
202206010010,152,
202206010010,156,
202206010010,159,
202206010010,165,
202206010020,13,
202206010020,105,
202206010020,108,
202206010020,112,
202206010020,115,
202206010020,131,
202206010020,132,
202206010020,133,
202206010020,138,
202206010020,143,
202206010020,146,
202206010020,152,
202206010020,156,
202206010020,159,
202206010020,165,
202206010030,13,
202206010030,105,
202206010030,108,
202206010030,112,
202206010030,115,
202206010030,131,
202206010030,132,
202206010030,133,
202206010030,138,
202206010030,143,
202206010030,146,
202206010030,152,
202206010030,156,
202206010030,159,
202206010030,165,
202206010040,13,
202206010040,105,
202206010040,108,
202206010040,112,
202206010040,115,
202206010040,131,
202206010040,132,
202206010040,133,
202206010040,138,
202206010040,143,
202206010040,146,
202206010040,152,
202206010040,156,
202206010040,159,
202206010040,165,
202206010050,13,
202206010050,105,
202206010050,108,
202206010050,112,
202206010050,115,
202206010050,131,
202206010050,132,
202206010050,133,
202206010050,138,
202206010050,143,
202206010050,146,
202206010050,152,
202206010050,156,
202206010050,159,
202206010050,165,
202206010100,13,
202206010100,105,
202206010100,108,
202206010100,112,
202206010100,115,
202206010100,131,
202206010100,132,
202206010100,133,
202206010100,138,
202206010100,143,
202206010100,146,
202206010100,152,
202206010100,156,
202206010100,159,
202206010100,165,
202206010110,13,
202206010110,105,
202206010110,108,
202206010110,112,
202206010110,115,
202206010110,131,
202206010110,132,
202206010110,133,
202206010110,138,
202206010110,143,
202206010110,146,
202206010110,152,
202206010110,156,
202206010110,159,
202206010110,165,
202206010120,13,
202206010120,105,
202206010120,108,
202206010120,112,
202206010120,115,
202206010120,131,
202206010120,132,
202206010120,133,
202206010120,138,
202206010120,143,
202206010120,146,
202206010120,152,
202206010120,156,
202206010120,159,
202206010120,165,
202206010130,13,
202206010130,105,
202206010130,108,
202206010130,112,
202206010130,115,
202206010130,131,
202206010130,132,
202206010130,133,
202206010130,138,
202206010130,143,
202206010130,146,
202206010130,152,
202206010130,156,
202206010130,159,
202206010130,165,
202206010140,13,
202206010140,105,
202206010140,108,
202206010140,112,
202206010140,115,
202206010140,131,
202206010140,132,
202206010140,133,
202206010140,138,
202206010140,143,
202206010140,146,
202206010140,152,
202206010140,156,
202206010140,159,
202206010140,165,
202206010150,13,
202206010150,105,
202206010150,108,
202206010150,112,
202206010150,115,
202206010150,131,
202206010150,132,
202206010150,133,
202206010150,138,
202206010150,143,
202206010150,146,
202206010150,152,
